id	label	sub	title
dyvxu1	1	ramen	'Nothing better than a good bowl of tonkatsu'
8i9c8d	1	ramen	'I did it!!! I made Tonkatsu Chcachu Ramen!'
7323tn	1	ramen	'Absolutely nailed my Tonkatsu. Finally!'
2enqgx	1	ramen	'Kakuni Tonkatsu Ramen'
22pmvb	1	ramen	'tonkatsu from hell - Samurai Noodles in Seattle'
73ln3l	1	ramen	'Spicy Tonkatsu Ramen from Atlanta, GA. Egg could\'ve used a bit more work but the broth was amazing'
bnudvz	1	ramen	'Tonkatsu ramen from Ramen-San in Chicago'
dzwgxo	1	ramen	'Awesome pork tonkatsu ramen at Haiku Tokyo'
daxt33	1	ramen	'Spicy Tonkatsu'
elmo0e	1	ramen	'Tonkatsu Black (ramen from my local ramen shop). Chashu, black fungus, green onions, egg, and garlic oil. Absolutely heavenly!'
abe270	1	ramen	'This is officially my favorite kind of ramen broth. Spicy tonkatsu. I got it level 3 spicy. The broth is so creamy and fatty.'
30jbjj	1	hockey	'Tonkatsu @ Ivan Ramen Slurp Shop??'
dllqyq	1	ramen	'Spicy Tonkatsu from Orenchi Ramen Redwood City, California'
5p5tza	1	ramen	'[Fresh] Some spicy Tonkatsu with pork belly from Silver Lake Ramen in LA!'
8xcca9	1	ramen	'Tonkatsu Ramen - Sora, Amsterdam'
5mxx1f	1	ramen	'Tonkatsu from Mecha Noodle Bar in New Haven, CT.'
8sleq1	1	ramen	'Spicy tonkatsu with smoked pork.'
c05j6f	0	ramen	'Tonkatsu Tonkotsu ramen'
6ra8mm	0	SteamKiwi	'Can we have a tonkatsu/tonkotsu correction-bot?'
2z9gmo	0	ramen	'Tonkatsu vs. Tonkotsu - a Friendly PSA'
8014hm	0	ramen	'Tonkatsu Ramen'
7hmw88	0	ramen	'Tonkatsu Ramen'
d3k0pi	0	FoodPorn	'Tonkatsu and Japanese Curry Rice'
doh3mt	0	FoodPorn	'Pork Tonkatsu'
5374lm	0	FoodPorn	'Tonkatsu – Japanese Pork Cutlet [OC][680x1000]'
chrepr	0	FoodPorn	'Pork Tonkatsu with Japanese Curry'
eupi6v	1	FoodPorn	'My favorite traditional tonkatsu ramen'
ekorv7	0	FoodPorn	'Some traditional tonkatsu I got to devour'
b9869m	1	translator	'Got this tonkatsu ramen for just $12, and yes, it tasted as good as it looks.'
984whs	0	FoodPorn	'Tonkatsu [I ate]'
85zr5t	0	FoodPorn	'Tonkatsu Curry [OC][3024x3781]
dwr7tt	1	FoodPorn	'Tonkatsu Pork Ramen'
bv90xa	0	FoodPorn	'Curry rice with Tonkatsu (deep fried pork) eating place discovered in Taipei'
cru0pa	0	FoodPorn	'[I Ate] a tonkatsu dinner with pork fillet and cheese katsu (@ Saku, Vancouver, BC)'
dgzjp8	0	FoodPorn	'I ate tonkatsu for lunch'
crtdvn	1	FoodPorn	'Homemade tonkatsu ramen. Everything except the noodles made from scratch.'
520u4h	0	FoodPorn	'Tonkatsu @Katsukura, Sanjohnten Kyoto [4000x6000][OC]'
a6cggw	1	FoodPorn	'[I ATE] Tonkatsu ramen with extra noodles - and MAN was it good! [OC]'
1ypc6b	0	FoodPorn	'Tonkatsu [3264x2448][OC]'
8kzz3i	0	FoodPorn	'Tonkatsu(pork cutlet) and beer [OC][3244x1444]'
bcrrto	0	FoodPorn	'Black Pork Tonkatsu Set - Kyoto'
bnvcrs	1	FoodPorn	'Tonkatsu ramen with steak, dumplings, and beer brats I made myself for mothers day.'
8q0a9b	0	food	'[homemade] Tonkatsu (Japanese pork cutlet)'
8blccn	0	food	'[I ate] Tonkatsu'
dalz6i	0	food	'[I ate] Ninja Tonkatsu sandwich (Tonkatsu pork, bacon, kimchi, Katsu sauce)'
b5a1yt	0	food	'Japanese Tonkatsu Curry [Homemade]'
8k3q98	0	food	'[Homemade] Chicken katsu with tonkatsu sauce and sticky rice'
8em6ab	0	food	'[I Ate] Tonkatsu Curry'
6lqzy9	0	creepy	'[I Ate] Tonkatsu Sampler Set'
6baage	1	food	'[Homemade] Tonkatsu Ramen'
8zbcrb	0	food	'[I ate] Japanese Tonkatsu Fried Pork Cutlet'
fsd4gi	1	FoodPorn	'Tonkatsu Ramen with extra pork slices at takaryu'
ff4x5n	1	FoodPorn	'I hope y'all like this tonkatsu ramen I made with a bunch of toppings'
g5fjsa	1	food	'[Homemade] traditional pork tonkatsu ramen with pork belly'
g3w7es	0	food	'[homemade] duck broth ramen with pork tonkatsu'
fdqlbh	0	food	'[I ate] Tonkatsu curry ramen'
fwu6uv	1	food	'[Homemade] Tonkatsu ramen topped with chashu pork, marinated eggs, crispy garlic, spinach, and scallions'
fgh12e	1	food	'[I ate] Tonkatsu ramen'
f4y06p	1	food	'[homemade] tonkatsu ramen'
3mh1t8	0	food	'Tonkatsu in Kyoto, Japan'
6pt38l	0	food	'Cheesy Tonkatsu Omurice Curry [I ate]'
66nsf4	0	food	'[I ate] Tonkatsu, (Japanese Panko crusted kurobuta pork cutlets)'
ggdfrc	1	ramen	'First attempt at homemade Tonkatsu Ramen'
ggwcwz	1	ramen	'My first tonkatsu ramen! I know I overboiled the Eggs but forgot they had to be softboiled. Still one of the best ramen I've had! I have a questions thats Ill comment if anyone can enlighten me on that matter'
ee1bff	0	food	'[I ate] Spicy tonkotsu ramen with a tonkatsu rice bowl on the side'
f53r25	1	food	'[I ate] Tonkatsu ramen'
f1jt5u	1	food	'[Homemade] Tonkatsu ramen'
fisa1t	0	food	'[Homemade] Tonkatsu and sauce'
fqx8oj	1	food	'[Homemade] tonkatsu ramen. Pork bone broth, pork belly, mushrooms, roasted corn, cilantro and leek'
f87rty	0	food	'[homemade] Japanese - Tonkatsu with sesame dressing on the side, Hanjuku Tamago, Hokkaido new rice tipped with roasted seaweed and sesame seeds, cabbage and carrot stir-fry'
fn9a3g	1	food	'[I ate] Tonkatsu Black'
fvozhy	0	food	'[Homemade] Pork tonkatsu, with a little bit of Katsu sauce, sriracha slaw, miso, sake.'
fvmqme	0	food	'[Homemade] Tonkatsu curry rice'
f51oqo	0	food	'[Homemade] Tonkatsu'
g5ct4h	0	food	'[homemade] tonkatsu with bull dog sauce'
fmrn5l	0	food	'[I ate] tonkatsu curry'
g3fk5b	1	ramen	'first attempt at making my own ramen, tonkatsu base with miso tare!'
fem023	1	ramen	'I don't work at a ramen shop, but rather a soup shop. I convinced the owner to let me make and serve ramen. Aside from a lack of toppings I think it turned out great. Tonkatsu Ramen w/ fresh scallions.'
gor3cq	1	ramen	'First tonkatsu broth, 13hr boil'
gpg8ty	0	food	'[Homemade] Tonkatsu and curry stew'
go9w3o	0	FoodPorn	'I made Pork Tonkatsu with Stir Fried Cabbage and a Warm Golden Beet and Sesame Salad'
gnus84	0	food	'[homemade] Tonkatsu, garlicky cabbage fried with ikan bilis, steamed Japanese rice'
gpjz4x	1	ramen	'Spicy miso tonkatsu ramen with chicken, to-go'
gpwk93	1	ramen	'Been working on Tonkatsu recently'
gq3f9k	1	ramen	'Today my wife and I would have been coming back from our honeymoon in Japan, but 2020 had other plans, so we made some tonkatsu style ramen to go with out celebratory sake'
gq36qh	1	ramen	'Long time lurker posting my Tonkatsu Ramen with Chashu Pork'
